"Species_code","site","year","year_norm","Resilience","Rs_norm"
"134","PCGL","ak006.crn",-0.795063487988222,-0.657463462736078,0.9496733607549,-0.238063764176786
"243","PCGL","ak007.crn",-0.833806422471275,-0.700732089644533,0.835324571883712,-0.867513251191638
"245","PCGL","ak007.crn",-0.75632055350517,-0.601842081263436,0.851042896497442,-0.784664561416337
"337","PCSI","ak008.crn",-1.45369337420012,-1.48759278923963,1.19480519480519,0.962233848531972
"455","PCGL","ak009.crn",-1.1437498983357,-1.03083528214083,1.00401606425703,0.0650123755111235
"565","PCGL","ak010.crn",-1.1437498983357,-1.03083528214083,0.829274479959412,-0.897728233435739
"568","PCGL","ak010.crn",-1.02752109488654,-0.902025878058734,0.936543909348442,-0.312272718122048
"569","PCGL","ak010.crn",-0.988778160403485,-0.853600306409024,0.99395936298737,0.013601152218964
"571","PCGL","ak010.crn",-0.91129229143738,-0.790984953143937,0.953711790393013,-0.215572528489573
"573","PCGL","ak010.crn",-0.833806422471275,-0.700732089644533,0.90562613430127,-0.486796472056286
"675","PCGL","ak011.crn",-1.1437498983357,-1.03083528214083,0.947773501924134,-0.250171365912715
"788","PCGL","ak012.crn",-1.02752109488654,-0.902025878058734,0.897473684210526,-0.529011987313836
"793","PCGL","ak012.crn",-0.833806422471275,-0.700732089644533,0.88623035421065,-0.591744012084524
"890","PCGL","ak013.crn",-1.33746457075096,-1.25636525479027,0.936110329299184,-0.315324337070374
"901","PCGL","ak013.crn",-0.91129229143738,-0.790984953143937,0.97944576986603,-0.0712329623348684
"995","PCSI","ak014.crn",-1.53117924316622,-1.59423702397474,0.858938547486033,-0.743815946923398
"997","PCSI","ak014.crn",-1.45369337420012,-1.48759278923963,0.84284723827132,-0.83077597914225
"1008","PCSI","ak014.crn",-1.02752109488654,-0.902025878058734,1.08147289069295,0.477896298262834
"1217","PCSI","ak016.crn",-1.45369337420012,-1.48759278923963,0.996192149970709,0.024827188957103
"1327","PCSI","ak017.crn",-1.45369337420012,-1.48759278923963,1.13840830449827,0.738602255927538
"1437","PCSI","ak018.crn",-1.45369337420012,-1.48759278923963,1.12459511984453,0.680011995406923
"1562","PCSI","ak019.crn",-0.872549356954328,-0.741706984589359,1.07526366251198,0.449664126420076
"1563","PCSI","ak019.crn",-0.833806422471275,-0.700732089644533,1.03420473979966,0.230734666932599
"1565","PCSI","ak019.crn",-0.75632055350517,-0.601842081263436,1.01635191156149,0.13509669094959
"1665","TSME","ak020.crn",-1.1437498983357,-1.03083528214083,1.09133024487095,0.528860115528963
"1987","PCSI","ak023.crn",-1.45369337420012,-1.48759278923963,0.980281690140845,-0.0662033495869321
"2317","PCSI","ak026.crn",-1.45369337420012,-1.48759278923963,1.10086956521739,0.574526850138066
"2333","PCSI","ak026.crn",-0.833806422471275,-0.700732089644533,0.968212497278467,-0.132565248453006
"2335","PCSI","ak026.crn",-0.75632055350517,-0.601842081263436,0.982787225217752,-0.0507273923874152
"2427","TSME","ak027.crn",-1.45369337420012,-1.48759278923963,0.939785417122838,-0.293333514188057
"2647","TSME","ak029.crn",-1.45369337420012,-1.48759278923963,1.31960900473934,1.36481224656022
"3199","PCGL","ak034.crn",-1.37620750523401,-1.34414520262079,0.957260419431909,-0.192920769582872
"3203","PCGL","ak034.crn",-1.2212357673018,-1.10195198567005,1.48519637462236,1.75672091907684
"3310","PCGL","ak035.crn",-1.33746457075096,-1.25636525479027,0.850231600617602,-0.788622968132711
"3321","PCGL","ak035.crn",-0.91129229143738,-0.790984953143937,1.02552356020942,0.185661375177594
"3323","PCGL","ak035.crn",-0.833806422471275,-0.700732089644533,1.19288049400654,0.955333750630001
"3639","PCGL","ak038.crn",-1.37620750523401,-1.34414520262079,1.29948586118252,1.30526334099956
"3643","PCGL","ak038.crn",-1.2212357673018,-1.10195198567005,1.34491664710026,1.43331663273512
"3750","PCGL","ak039.crn",-1.33746457075096,-1.25636525479027,0.885507246376812,-0.594262881431406
"3761","PCGL","ak039.crn",-0.91129229143738,-0.790984953143937,1.04097116843703,0.269839986377128
"3858","PCGL","ak040.crn",-1.41495043971706,-1.42428685985319,0.930574840322133,-0.34656872476822
"3877","PCGL","ak040.crn",-0.678834684539065,-0.531648886604718,1.38682476943346,1.54315126416238
"3968","PCGL","ak041.crn",-1.41495043971706,-1.42428685985319,1.13947226709747,0.744338427440011
"3987","PCGL","ak041.crn",-0.678834684539065,-0.531648886604718,1.12315035799523,0.673702538338688
"4078","PCGL","ak042.crn",-1.41495043971706,-1.42428685985319,1.0784965034965,0.465204865473838
"4188","PCGL","ak043.crn",-1.41495043971706,-1.42428685985319,1.14336832061069,0.761166798990975
"4300","PCGL","ak044.crn",-1.33746457075096,-1.25636525479027,1.03207547169811,0.220711098457315
"4317","PCGL","ak044.crn",-0.678834684539065,-0.531648886604718,0.899262332872291,-0.519165454593108
"4410","PCGL","ak045.crn",-1.33746457075096,-1.25636525479027,0.978001257071024,-0.0793106381201686
"4427","PCGL","ak045.crn",-0.678834684539065,-0.531648886604718,0.900051519835137,-0.515391741112557
"4643","PCGL","ak054.crn",-0.833806422471275,-0.700732089644533,0.962834565102869,-0.163337980859839
"4745","PCGL","ak055.crn",-1.1437498983357,-1.03083528214083,1.05031556698495,0.320602257825189
"4753","PCGL","ak055.crn",-0.833806422471275,-0.700732089644533,0.920103108714311,-0.405961914746486
"4855","PCGL","ak056.crn",-1.1437498983357,-1.03083528214083,1.04807713880074,0.306731739581292
"4863","PCGL","ak056.crn",-0.833806422471275,-0.700732089644533,0.962834565102869,-0.163337980859839
"4965","PCGL","ak071.crn",-1.1437498983357,-1.03083528214083,0.626608592357949,-1.87157559304542
"5075","PCGL","ak073.crn",-1.1437498983357,-1.03083528214083,0.984139166027117,-0.0420029595395944
"5185","PCGL","ak074.crn",-1.1437498983357,-1.03083528214083,0.827852998065764,-0.904963154074244
